Wall time,Step,Value
1677902992.8735883,3,-256.68487548828125
1677903004.5661173,5,-187.2592010498047
1677903009.7738943,6,-126.13298034667969
1677903019.2950935,8,-129.28494262695312
1677903030.1003156,10,-126.07074737548828
1677903036.5249848,11,-66.19976806640625
1677903048.693015,13,-82.2070083618164
1677903054.7949307,14,-123.74608612060547
1677903060.785923,15,-89.85948944091797
1677903067.1908143,16,-117.95094299316406
1677903068.076568,17,11.172924041748047
1677903074.0049727,18,-88.4331283569336
1677903080.0335908,19,-75.4931869506836
1677903086.0003922,20,-65.96063232421875
1677903106.1515813,24,-93.9806137084961
1677903112.3500326,25,-103.33317565917969
1677903137.2489598,30,-64.7601547241211
1677903143.2662253,31,-104.8284912109375
1677903154.139668,33,-38.501853942871094
1677903160.4197853,34,-91.46788787841797
1677903171.9676178,36,-61.25141525268555
1677903190.593185,39,-69.27143859863281
1677903197.0912204,40,-137.55580139160156
1677903204.6322072,42,2.0879058837890625
1677903211.5846486,43,-129.13958740234375
1677903213.4715703,44,-6.924494743347168
1677903219.8352294,45,-69.51923370361328
1677903233.2589447,47,-73.17887115478516
1677903242.2420733,49,-72.32660675048828
1677903248.796185,50,-52.28407287597656
1677903265.9910114,53,-51.591949462890625
1677903273.6574318,54,-90.8948974609375
1677903280.5572474,55,-86.66682434082031
1677903287.4095232,56,-101.5888442993164
1677903296.1995633,57,-95.45962524414062
1677903307.971386,60,4.917569160461426
1677903315.3082778,61,-92.22065734863281
1677903329.0882502,63,-77.90248107910156
1677903343.1595087,65,-71.38516235351562
1677903349.7335877,66,-81.44844055175781
1677903352.5766542,67,-13.084010124206543
1677903353.7436469,68,3.101809024810791
1677903360.049617,69,-68.6635971069336
1677903373.1900685,71,-87.38451385498047
1677903374.1893892,72,6.111267566680908
1677903380.5740683,73,-79.12690734863281
1677903387.3843417,74,-108.36124420166016
1677903396.2272422,76,-8.785368919372559
1677903409.0831604,78,-103.52212524414062
1677903415.502763,79,-78.4034652709961
1677903448.5249095,84,-50.07605743408203
1677903455.1756575,85,-70.89623260498047
1677903461.6256535,86,-64.71947479248047
1677903464.7849853,87,-16.75771713256836
1677903471.3105514,88,-102.06571197509766
1677903477.734893,89,-77.71015930175781
1677903502.2597213,94,-69.7108154296875
1677903524.122554,99,-79.7955551147461
1677903543.902845,102,-83.28988647460938
1677903556.893562,104,-121.74053192138672
1677903563.825627,105,-54.42698669433594
1677903564.8088984,106,9.811386108398438
1677903612.632444,113,-92.40499114990234
1677903629.5632668,116,4.470631122589111
1677903639.8240345,118,-2.6760966777801514
1677903647.56383,119,-58.21257019042969
1677903649.0432959,120,5.700556755065918
1677903660.0483186,124,4.589290618896484
1677903661.2118518,125,5.584779739379883
1677903667.2149138,126,-31.428335189819336
1677903678.8164537,129,-58.923248291015625
1677903686.0347986,130,-99.715087890625
1677903698.7832506,133,-16.605098724365234
1677903710.176945,137,10.690876960754395
1677903725.3901572,139,-64.10250854492188
1677903740.7569494,141,-76.80540466308594
1677903748.0011704,142,-59.37019729614258
1677903749.3437407,143,-2.153172254562378
1677903750.3755252,144,5.085384368896484
1677903758.2062175,145,-78.8682861328125
1677903763.0254962,146,-20.940141677856445
1677903772.3827264,148,-60.430641174316406
1677903780.4921227,150,9.63412094116211
1677903796.499652,153,-87.07757568359375
1677903798.219612,154,-3.1028223037719727
1677903805.9899206,155,-78.01451873779297
1677903820.913771,157,-59.029911041259766
1677903828.05169,158,-67.45982360839844
1677903835.7390404,159,-68.08843231201172
1677903850.414029,161,-81.60421752929688
1677903851.5645835,162,7.402237415313721
1677903865.9658024,164,-58.39131546020508
1677903873.12871,165,-64.96834564208984
1677903881.293074,167,7.704672336578369
1677903885.705967,168,-16.286531448364258
1677903892.9237494,169,-73.13076782226562
1677903900.978715,171,6.323643207550049
1677903925.5593529,175,-73.50869750976562
1677903932.3397446,176,-82.62525939941406
1677903938.5218282,177,-71.60935974121094
1677903939.5236633,178,7.5616583824157715
1677903951.095104,180,-78.77664947509766
1677903957.3452532,181,-65.6946792602539
1677903961.7259147,183,-15.576788902282715
1677903964.1460278,185,3.8681578636169434
1677903965.2301583,186,7.225614547729492
1677903967.2049856,187,-0.8504412174224854
1677903973.5579271,188,-61.97472381591797
1677903984.041431,190,-82.45742797851562
1677903985.1003642,191,7.858778953552246
1677904012.614138,198,-21.880020141601562
1677904033.9794436,202,-6.376881122589111
1677904048.8627672,206,1.014333963394165
1677904055.2247174,207,-82.82089233398438
1677904061.1140418,208,-44.50658416748047
1677904082.6050942,212,-80.23759460449219
1677904089.2721038,213,-93.41288757324219
1677904092.2026832,214,-12.279641151428223
1677904093.3910315,215,4.53496789932251
1677904106.7007663,218,-70.77671813964844
1677904112.9336436,219,-99.2790298461914
1677904120.9816725,221,-56.227176666259766
1677904122.8329024,222,-1.3415508270263672
1677904129.1052704,223,-42.2825927734375
1677904133.8253968,225,-28.353330612182617
1677904138.5663755,226,-36.61688232421875
1677904139.405576,227,9.040201187133789
1677904145.571069,229,-60.61112976074219
1677904152.004981,230,-81.79021453857422
1677904153.5545578,231,2.002758502960205
1677904157.0305722,232,-16.320560455322266
1677904159.197339,233,-5.258645534515381
1677904165.4802744,234,-69.81378936767578
1677904176.6893256,237,-72.48136901855469
1677904183.0008755,238,-63.67978286743164
1677904195.9620583,240,-93.16046142578125
1677904212.1199596,244,-3.3057072162628174
1677904215.682638,245,-9.908474922180176
1677904219.9163144,247,5.663359642028809
1677904231.4839056,249,-41.89223098754883
1677904234.2565224,250,-14.574958801269531
1677904251.4188924,255,10.543423652648926
1677904266.4854646,258,-52.74503707885742
1677904272.8880203,259,-42.48458480834961
1677904276.3886652,260,-5.837836742401123
1677904282.418515,261,-40.087547302246094
1677904289.7889745,263,-74.15696716308594
1677904310.6160116,267,-107.63633728027344
1677904319.3777008,269,-43.216346740722656
1677904322.982219,271,8.46036434173584
1677904329.644411,272,-134.196533203125
1677904335.9196944,273,-104.8027114868164
1677904337.6121328,274,2.0893046855926514
1677904347.77474,277,3.4017550945281982
1677904354.0958886,278,-45.52721405029297
1677904367.001499,280,-110.49962615966797
1677904374.3773787,282,-87.61235809326172
1677904378.5122678,284,6.704251289367676
1677904394.4225993,289,-8.647404670715332
1677904397.0399544,291,4.071676731109619
1677904398.5400016,292,2.92875075340271
1677904412.393329,295,-78.65401458740234
1677904418.7783914,296,-35.94182586669922
1677904422.899695,297,-59.639854431152344
1677904429.4794998,298,-78.68777465820312
1677904435.6765025,299,-76.73307037353516
1677904442.4051054,300,-83.5412368774414
1677904445.7538066,301,-18.831541061401367
1677904447.4886472,302,-3.1461291313171387
1677904453.7353735,303,-73.65936279296875
1677904462.0225582,307,-15.758214950561523
1677904468.1941774,308,-92.71104431152344
1677904472.0567906,310,-0.4478188157081604
1677904477.0825512,313,7.65789794921875
1677904485.5881722,317,10.19666576385498
1677904492.1970925,318,-114.92521667480469
1677904494.913653,319,-17.965133666992188
1677904496.643562,320,2.265540599822998
1677904504.2463489,322,-61.434051513671875
1677904507.4639132,324,0.2798249423503876
1677904513.8128824,325,-51.33280563354492
1677904516.4061654,326,-11.668318748474121
1677904519.2798398,327,-16.456613540649414
1677904531.5978978,330,-44.07974624633789
1677904538.241731,331,-54.28751754760742
1677904544.0811284,333,-12.72457218170166
1677904559.2031844,337,3.0719752311706543
1677904563.964142,339,-22.105457305908203
1677904571.9959235,341,-65.67538452148438
1677904573.0953226,342,5.755758762359619
1677904575.7058299,343,-16.10272789001465
1677904582.0203564,344,-79.03207397460938
1677904588.8979836,345,-91.88825225830078
1677904597.7495291,347,-35.43026351928711
1677904598.804361,348,7.309080123901367
1677904610.1216521,351,-18.024415969848633
1677904612.0909853,353,7.756490707397461
1677904616.6520617,354,-27.354461669921875
1677904623.2365098,356,-23.867115020751953
1677904632.3728747,358,-14.77877140045166
1677904638.7400289,359,-94.0981674194336
1677904644.9971392,360,-50.906375885009766
1677904653.4441588,362,1.5667530298233032
1677904654.4225056,363,6.227590560913086
1677904660.8265452,364,-58.45061492919922
1677904662.0307431,365,5.729455471038818
1677904670.494982,367,-22.917707443237305
1677904673.7852428,368,-18.93691062927246
1677904676.8380136,370,-5.4544291496276855
1677904681.306691,371,-52.048065185546875
1677904683.2010853,373,9.882543563842773
1677904692.1616714,375,-6.142287254333496
1677904693.6861453,376,-5.398280620574951
1677904696.4652941,377,-6.00755500793457
1677904702.8523679,378,-80.53410339355469
1677904709.223172,379,-74.25756072998047
1677904718.0138438,381,-92.39630889892578
1677904725.1125422,382,-82.00218963623047
1677904734.8446944,385,8.174995422363281
1677904742.0003579,386,-106.44800567626953
1677904749.2884815,387,-79.2536392211914
1677904750.202568,388,9.309819221496582
1677904755.0043902,390,-19.866262435913086
1677904762.8363383,391,-77.02532196044922
1677904765.1521199,392,-7.655228614807129
1677904766.289085,393,5.956554889678955
1677904780.6028392,398,-3.0992965698242188
1677904799.5960672,402,-109.16708374023438
1677904806.7013412,403,-89.06024932861328
1677904815.9389277,405,-50.10988235473633
1677904818.3436413,406,1.015866756439209
1677904832.7795553,408,-119.96322631835938
1677904868.7341795,415,-11.600882530212402
1677904869.7287693,416,5.34486198425293
1677904877.4517357,419,2.1511499881744385
1677904878.3875911,420,9.62277889251709
1677904881.5771945,421,-24.311548233032227
1677904888.8088727,422,-103.22843170166016
1677904899.7555819,424,-42.0733757019043
1677904908.3464181,426,6.5258307456970215
1677904923.002103,428,-83.7506103515625
1677904932.102435,430,0.08853026479482651
1677904946.7001476,435,-4.6249895095825195
1677904960.6651404,439,0.9103432893753052
1677904963.9628952,440,-24.16411018371582
1677904968.1048868,441,-27.04819107055664
1677904969.5826142,442,8.433758735656738
1677904983.8995454,444,-92.88320922851562
1677904988.7177863,445,-34.9633674621582
1677905010.1899717,448,-82.6891860961914
1677905021.358342,451,1.0926278829574585
1677905031.4100127,454,8.377399444580078
1677905044.4252512,457,0.832904577255249
1677905046.3979223,458,-3.5774316787719727
1677905047.9490106,459,1.4313205480575562
1677905055.3461795,460,-90.03931427001953
1677905062.4095163,461,-67.81324005126953
1677905071.2882926,463,9.982908248901367
1677905078.576803,464,-74.33360290527344
1677905079.630997,465,9.042240142822266
1677905080.9259615,466,5.769149303436279
1677905085.3719351,467,-37.03553771972656
1677905086.1543562,468,9.947564125061035
1677905092.6899502,469,-62.80893325805664
1677905096.381977,471,-1.531766414642334
1677905102.886639,473,8.153793334960938
1677905110.295985,474,-116.32411193847656
1677905116.6041434,477,6.275114059448242
1677905123.752853,478,-84.33585357666016
1677905151.408844,482,-68.80746459960938
1677905162.293428,485,6.549990653991699
1677905163.1917725,486,9.147700309753418
1677905178.2418027,488,-77.14556884765625
1677905179.8762243,489,1.2299840450286865
1677905183.6278334,491,-7.681807994842529
1677905192.368083,493,-43.13549041748047
1677905204.5261445,496,-76.75009155273438
1677905212.3213565,497,-60.087974548339844
1677905235.2034118,503,-2.4396021366119385
1677905243.9903963,506,-44.998435974121094
1677905249.9942746,507,-44.1514778137207
1677905251.726348,508,-3.937478542327881
1677905262.081328,510,-24.547405242919922
1677905263.2640395,511,4.16956901550293
1677905269.7586071,512,-76.05445861816406
1677905274.8861058,514,-17.970680236816406
1677905276.2342455,515,1.5408837795257568
1677905277.994403,516,-4.880040645599365
1677905279.2544296,517,4.387099742889404
1677905286.5496533,519,-1.2041666507720947
1677905304.9689279,524,-61.39155197143555
1677905306.632758,525,-1.2115721702575684
1677905332.7366505,531,8.310319900512695
1677905336.6697204,533,1.1356136798858643
1677905343.1934452,534,-37.94851303100586
1677905345.528214,535,-4.507381916046143
1677905346.6646223,536,4.5506391525268555
1677905348.1410098,537,3.6896121501922607
1677905351.8597498,538,-31.576396942138672
1677905353.0213444,539,6.545690536499023
1677905354.6698842,540,0.032028596848249435
1677905355.9840276,541,5.921571731567383
1677905362.3783295,542,-78.65953063964844
1677905363.7500067,543,0.6135597825050354
1677905368.6947725,544,-41.365455627441406
1677905371.8456247,546,-1.0337934494018555
1677905374.261909,547,-10.826369285583496
1677905375.360529,548,5.135993480682373
1677905377.1741683,549,-6.61049747467041
1677905385.4044929,551,-70.01423645019531
1677905391.7299929,552,-85.00301361083984
1677905393.200896,553,0.15550659596920013
1677905398.6249273,555,-11.402365684509277
1677905411.6202765,557,-88.96217346191406
1677905419.141109,559,8.325693130493164
1677905421.2511568,560,-12.003865242004395
1677905426.6742108,563,6.4048004150390625
1677905427.8366525,564,8.54872989654541
1677905428.802033,565,8.892481803894043
1677905437.3246367,567,0.62570720911026
1677905441.8323078,568,-38.45466232299805
1677905442.836184,569,8.35293960571289
1677905446.8242157,571,-17.654216766357422
1677905453.502685,573,-3.139601707458496
1677905460.1342428,574,-72.44650268554688
1677905464.8431792,576,-11.831653594970703
1677905467.0012352,577,-2.746035575866699
1677905469.053901,578,0.0014372676378116012
1677905470.697948,579,-0.19053786993026733
1677905475.268092,580,-27.34486198425293
1677905483.7928598,581,-91.68840026855469
1677905486.4282434,582,-17.444297790527344
1677905488.4992306,583,5.901780605316162
1677905489.9517264,584,-0.07426665723323822
1677905493.5391545,586,4.402642250061035
1677905495.8569953,587,-3.8248839378356934
1677905496.7198222,588,8.18181037902832
1677905503.0149567,591,-9.444393157958984
1677905504.1180346,592,7.418948173522949
1677905508.2341576,593,-25.92644500732422
1677905518.565063,595,-32.39399719238281
